Selective_layer_thickness,Filler_size,Filler_concentration,Crosslinker_concentration,Organic_Hildebrand_solubility_parameter,Organic_molecular_volume,Mass_ratio(A/B),Effluent_type,Effective_area,Experimental_temperature,Downstream_pressure,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Total_flux,predicted
-0.48812336618637153,0.11543072474639528,0.3161682537139916,-0.38352112933034666,-0.10504867447191155,0.2628086983903537,-0.13131848866626278,-0.699959773582704,-0.3017666665840208,-0.1648901735515722,-0.2805781045811439,-0.2043001257272611,-0.712741160108505,-0.05241236250445021,0.14201883852790617,-0.8848234413864536,1.0237951021993215,-0.005818230129607494,-0.22637298641136197,0.12482840222104899,-0.12898884976798822,-1.0087739243075051,-0.962506206670919
-0.48812336618637153,-0.06370811027381826,0.3161682537139916,-0.28431846846639575,-0.10504867447191155,0.2628086983903537,-0.13131848866626278,-0.699959773582704,-0.3017666665840208,-0.1648901735515722,-0.2805781045811439,-0.2043001257272611,-0.712741160108505,-0.05241236250445021,0.14201883852790617,-0.8848234413864536,1.0237951021993215,-0.005818230129607494,-0.22637298641136197,0.12482840222104899,-0.12898884976798822,-0.9507819773298184,-0.9135861592071114
-0.48812336618637153,0.11543072474639528,0.3161682537139916,-0.38352112933034666,0.8127434162799186,-0.47708594339542876,-0.13131848866626278,-0.699959773582704,-0.3017666665840208,-0.789218501571239,-0.2805781045811439,-0.2043001257272611,-0.712741160108505,-0.05241236250445021,0.14201883852790617,-0.8848234413864536,1.0237951021993215,-0.005818230129607494,-0.22637298641136197,0.12482840222104899,-0.12898884976798822,-1.0457574905606752,-0.9232889318861294
-0.48812336618637153,0.11543072474639528,0.3161682537139916,-0.38352112933034666,0.8127434162799186,-0.47708594339542876,-0.13131848866626278,-0.699959773582704,-0.3017666665840208,-0.1648901735515722,-0.2805781045811439,-0.2043001257272611,-0.712741160108505,-0.05241236250445021,0.14201883852790617,-0.8848234413864536,1.0237951021993215,-0.005818230129607494,-0.22637298641136197,0.12482840222104899,-0.12898884976798822,-0.8860566476931632,-0.9323225874232682
-0.48812336618637153,0.11543072474639528,0.07745926299326551,-0.38352112933034666,0.8127434162799186,-0.47708594339542876,-0.13131848866626278,-0.699959773582704,-0.3017666665840208,-0.1648901735515722,-0.2805781045811439,-0.2043001257272611,-0.712741160108505,-0.05241236250445021,0.14201883852790617,-0.8848234413864536,1.0237951021993215,-0.005818230129607494,-0.22637298641136197,0.12482840222104899,-0.12898884976798822,-0.958607314841775,-0.9737156443559266
-0.48812336618637153,-0.32007970901802046,-0.39995871844818676,-0.38352112933034666,0.8127434162799186,-0.47708594339542876,-0.13131848866626278,-0.699959773582704,-0.3017666665840208,-0.1648901735515722,-0.2805781045811439,-0.2043001257272611,-0.712741160108505,-0.05241236250445021,0.14201883852790617,-0.8848234413864536,1.0237951021993215,-0.005818230129607494,-0.22637298641136197,0.12482840222104899,-0.12898884976798822,-1.0,-1.0564914074044176
-0.48812336618637153,-0.06370811027381826,0.3161682537139916,-0.28431846846639575,0.8127434162799186,-0.47708594339542876,-0.13131848866626278,-0.699959773582704,-0.3017666665840208,-0.1648901735515722,-0.2805781045811439,-0.2043001257272611,-0.712741160108505,-0.05241236250445021,0.14201883852790617,-0.8848234413864536,1.0237951021993215,-0.005818230129607494,-0.22637298641136197,0.12482840222104899,-0.12898884976798822,-0.9208187539523752,-0.953615287020971
-0.48812336618637153,0.11543072474639528,0.3161682537139916,-0.38352112933034666,0.8127434162799186,-0.47708594339542876,-0.13131848866626278,-0.699959773582704,-0.3017666665840208,0.45943815446809455,-0.2805781045811439,-0.2043001257272611,-0.712741160108505,-0.05241236250445021,0.14201883852790617,-0.8848234413864536,1.0237951021993215,-0.005818230129607494,-0.22637298641136197,0.12482840222104899,-0.12898884976798822,-0.7328282715969862,-0.6676387008006192
-0.48812336618637153,-0.06370811027381826,0.3161682537139916,-0.38352112933034666,0.8127434162799186,-0.47708594339542876,-0.13131848866626278,-0.699959773582704,-0.3017666665840208,-0.1648901735515722,-0.2805781045811439,-0.2043001257272611,-0.712741160108505,-0.05241236250445021,0.14201883852790617,-0.8848234413864536,1.0237951021993215,-0.005818230129607494,-0.22637298641136197,0.12482840222104899,-0.12898884976798822,-0.9281179926938746,-0.9253401852669414
-0.48812336618637153,0.11543072474639528,-0.16124972772746063,-0.38352112933034666,0.8127434162799186,-0.47708594339542876,-0.13131848866626278,-0.699959773582704,-0.3017666665840208,-0.1648901735515722,-0.2805781045811439,-0.2043001257272611,-0.712741160108505,-0.05241236250445021,0.14201883852790617,-0.8848234413864536,1.0237951021993215,-0.005818230129607494,-0.22637298641136197,0.12482840222104899,-0.12898884976798822,-1.154901959985743,-1.0195897351206022
