Selective_layer_thickness,Filler_size,Filler_concentration,Crosslinker_concentration,Organic_Hildebrand_solubility_parameter,Organic_molecular_volume,Mass_ratio(A/B),Effluent_type,Effective_area,Experimental_temperature,Downstream_pressure,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,Separation_factor,predicted
25.0,200.0,0.03,0.001,23.57,76.4,10.1111,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,28.69600000000002,25.80114895389233
25.0,0.0,0.0,0.001,23.57,76.4,10.1111,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,10.384646999999998,12.736755727693584
25.0,200.0,0.03,0.001,23.57,76.4,13.2857,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,29.855000000000004,27.18808803267072
25.0,0.0,0.0,0.001,23.57,76.4,13.2857,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,11.538416999999999,13.554058364223016
25.0,200.0,0.03,0.001,23.57,76.4,24.0,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,32.75399999999999,31.58059808108678
25.0,0.0,0.0,0.001,23.57,76.4,24.0,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,12.962939000000008,15.776319025091272
25.0,200.0,0.03,0.001,23.57,76.4,24.0,1,35.18193902439028,40.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,33.0,27.687091164955397
25.0,200.0,0.02,0.001,23.57,76.4,24.0,1,35.18193902439028,40.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,26.0,26.40454505116795
25.0,200.0,0.01,0.001,23.57,76.4,24.0,1,35.18193902439028,40.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,17.999999999999996,22.823749932924564
25.0,0.0,0.0,0.001,23.57,76.4,24.0,1,35.18193902439028,40.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,12.098774000000008,15.591194476057156
25.0,200.0,0.03,0.001,23.57,76.4,24.0,1,35.18193902439028,50.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,32.50000000000001,24.513860297066106
25.0,200.0,0.02,0.001,23.57,76.4,24.0,1,35.18193902439028,50.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,24.999999999999993,23.378307411766063
25.0,200.0,0.01,0.001,23.57,76.4,24.0,1,35.18193902439028,50.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,17.000000000000007,20.20790894852338
25.0,0.0,0.0,0.001,23.57,76.4,24.0,1,35.18193902439028,50.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,10.802519,14.217348734842544
25.0,200.0,0.03,0.001,23.57,76.4,24.0,1,35.18193902439028,60.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,30.999999999999996,23.26402657836705
25.0,200.0,0.02,0.001,23.57,76.4,24.0,1,35.18193902439028,60.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,23.999999999999993,22.18636960453158
25.0,200.0,0.01,0.001,23.57,76.4,24.0,1,35.18193902439028,60.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,16.0,19.177613202272116
25.0,0.0,0.0,0.001,23.57,76.4,24.0,1,35.18193902439028,60.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,9.938282999999998,13.3289597216104
25.0,200.0,0.03,0.001,23.57,76.4,99.0,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,48.10999999999999,35.16448585989187
25.0,0.0,0.0,0.001,23.57,76.4,99.0,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,18.076972,17.49797478064486
30.0,0.0,0.0,0.0,26.52,58.5,65.6667,1,153.0,66.0,13.33,-1.6159496893093812,-2.602937260946731,-0.19392604782182019,1.9594603188710413,0.43385749340818835,-2.374617314939381,1.1275387222060853,-3.3330580286356466,2.0178736986773798,-1.2157551323468236,0.49447796517071463,18.700000000000003,17.68686339010907
120.0,0.0,0.0,0.0,26.52,58.5,65.6667,1,153.0,66.0,13.33,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,10.400000000000002,11.008069388345053
5.0,0.0,0.0,0.0,26.52,58.5,65.6667,1,153.0,66.0,13.33,-1.371496241405775,-2.816053668633433,-0.5323458048511088,0.031436543800245215,-0.9307241221113912,0.6095713222359251,0.030828766524383527,0.6566954523079008,-0.4489426507412795,0.5070183314696013,2.0788089729058115,14.285714000000002,11.663512519119307
1400.0,0.0,0.0,0.0,21.37,57.25,0.1111,0,14.2,30.0,6.66,-1.5504542260154135,-2.82765619177938,0.3037639329624841,-0.8794668200652714,-1.2849419864269054,1.750326406078574,-0.02803181657642969,-0.2400540684628737,-0.011235186509355233,0.027872791406604924,-0.31608565409574835,42.00000000000001,27.957352450084535
1400.0,0.0,0.0,0.0,21.37,57.25,0.1111,0,14.2,45.0,6.66,-1.5504542260154135,-2.82765619177938,0.3037639329624841,-0.8794668200652714,-1.2849419864269054,1.750326406078574,-0.02803181657642969,-0.2400540684628737,-0.011235186509355233,0.027872791406604924,-0.31608565409574835,35.0,24.23812924896658
1400.0,0.0,0.0,0.0,21.37,57.25,0.1111,0,14.2,60.0,6.66,-1.5504542260154135,-2.82765619177938,0.3037639329624841,-0.8794668200652714,-1.2849419864269054,1.750326406078574,-0.02803181657642969,-0.2400540684628737,-0.011235186509355233,0.027872791406604924,-0.31608565409574835,34.0,25.197383280214773
