NO,DOI,Selective_layer_thickness,Filler_size,Filler_concentration,Crosslinker_concentration,Organic_Hildebrand_solubility_parameter,Organic_molecular_volume,Mass_ratio(A/B),Effluent_type,Effective_area,Experimental_temperature,Downstream_pressure,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,Separation_factor,predicted
1171,10.1002/app.35313,25.0,200.0,0.03,0.001,23.57,76.4,10.1111,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,28.69600000000002,25.80114895389233
1172,10.1002/app.35313,25.0,0.0,0.0,0.001,23.57,76.4,10.1111,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,10.384646999999998,12.736755727693584
1173,10.1002/app.35313,25.0,200.0,0.03,0.001,23.57,76.4,13.2857,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,29.855000000000004,27.18808803267072
1174,10.1002/app.35313,25.0,0.0,0.0,0.001,23.57,76.4,13.2857,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,11.538416999999999,13.554058364223016
1175,10.1002/app.35313,25.0,200.0,0.03,0.001,23.57,76.4,24.0,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,32.75399999999999,31.58059808108678
1176,10.1002/app.35313,25.0,0.0,0.0,0.001,23.57,76.4,24.0,1,35.18193902439028,30.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,12.962939000000008,15.776319025091272
1177,10.1002/app.35313,25.0,200.0,0.03,0.001,23.57,76.4,24.0,1,35.18193902439028,40.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,33.0,27.687091164955397
1178,10.1002/app.35313,25.0,200.0,0.02,0.001,23.57,76.4,24.0,1,35.18193902439028,40.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,26.0,26.40454505116795
1179,10.1002/app.35313,25.0,200.0,0.01,0.001,23.57,76.4,24.0,1,35.18193902439028,40.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,17.999999999999996,22.823749932924564
1180,10.1002/app.35313,25.0,0.0,0.0,0.001,23.57,76.4,24.0,1,35.18193902439028,40.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,12.098774000000008,15.591194476057156
1181,10.1002/app.35313,25.0,200.0,0.03,0.001,23.57,76.4,24.0,1,35.18193902439028,50.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,32.50000000000001,24.513860297066106
1182,10.1002/app.35313,25.0,200.0,0.02,0.001,23.57,76.4,24.0,1,35.18193902439028,50.0,1.0,-1.4442437100839227,-2.8598114815018927,-0.6276547581130907,1.7211071635899584,-0.0726209378043243,-1.9831245705553806,0.0432847102253842,0.6461231105478648,-0.34948346812177766,0.12686243306359468,-0.19875537418411293,24.999999999999993,23.378307411766063
