NO,DOI,Selective_layer_thickness,Filler_size,Filler_concentration,Crosslinker_concentration,Organic_Hildebrand_solubility_parameter,Organic_molecular_volume,Mass_ratio(A/B),Effluent_type,Effective_area,Experimental_temperature,Downstream_pressure,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Total_flux,predicted
17,10.1002/aic.15140,15.0,332.105,0.1,0.0,26.52,58.5,5.6667,0,13.5,40.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.25,0.15643411877028923
18,10.1002/aic.15140,15.0,332.105,0.075,0.0,26.52,58.5,5.6667,0,13.5,60.0,1.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.23000000000000004,0.18965465474757298
735,10.1002/app.29545,30.0,1000.0,0.1,0.01,26.52,58.5,4.0,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.15099999999999997,0.15035966006380613
736,10.1002/app.29545,30.0,1000.0,0.1,0.01,21.37,57.25,4.0,0,20.0,30.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.20400000000000001,0.21021249669497488
737,10.1002/app.29545,30.0,0.0,0.0,0.01,26.52,58.5,4.0,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.068,0.07957699960951829
738,10.1002/app.29545,30.0,0.0,0.0,0.01,21.37,57.25,4.0,0,20.0,30.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.139,0.15444099316229373
739,10.1002/app.29545,30.0,1000.0,0.1,0.01,26.52,58.5,5.6667,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.145,0.1406338085776764
740,10.1002/app.29545,30.0,1000.0,0.1,0.01,21.37,57.25,5.6667,0,20.0,30.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.20000000000000004,0.19595451600967295
741,10.1002/app.29545,30.0,0.0,0.0,0.01,26.52,58.5,5.6667,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.068,0.07022780747585752
742,10.1002/app.29545,30.0,0.0,0.0,0.01,21.37,57.25,5.6667,0,20.0,30.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.135,0.12913348570999747
743,10.1002/app.29545,30.0,1000.0,0.1,0.01,26.52,58.5,9.0,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.138,0.12523736616304904
744,10.1002/app.29545,30.0,1000.0,0.1,0.01,21.37,57.25,9.0,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.19,0.18124086178219784
745,10.1002/app.29545,30.0,1000.0,0.07,0.01,26.52,58.5,9.0,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.11499999999999998,0.11494425292324333
746,10.1002/app.29545,30.0,1000.0,0.05,0.01,26.52,58.5,9.0,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.10100000000000002,0.09458809772113078
747,10.1002/app.29545,30.0,1000.0,0.07,0.01,21.37,57.25,9.0,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.178,0.17650224081457533
748,10.1002/app.29545,30.0,1000.0,0.03,0.01,26.52,58.5,9.0,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.087,0.09171258768518904
749,10.1002/app.29545,30.0,1000.0,0.05,0.01,21.37,57.25,9.0,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.167,0.14707400679613855
750,10.1002/app.29545,30.0,0.0,0.0,0.01,26.52,58.5,9.0,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.068,0.05977137843859895
751,10.1002/app.29545,30.0,1000.0,0.03,0.01,21.37,57.25,9.0,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.15099999999999997,0.14355875686523828
752,10.1002/app.29545,30.0,0.0,0.0,0.01,21.37,57.25,9.0,0,20.0,30.0,0.066,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.126,0.1105757029322626
753,10.1002/app.29545,30.0,1000.0,0.1,0.01,21.37,57.25,9.0,0,20.0,40.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.144,0.16673749192771592
754,10.1002/app.29545,30.0,1000.0,0.1,0.01,21.37,57.25,9.0,0,20.0,40.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.202,0.16673749192771592
755,10.1002/app.29545,30.0,0.0,0.0,0.01,21.37,57.25,9.0,0,20.0,40.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.07000000000000002,0.09423811684839778
756,10.1002/app.29545,30.0,0.0,0.0,0.01,21.37,57.25,9.0,0,20.0,40.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.132,0.09423811684839778
757,10.1002/app.29545,30.0,1000.0,0.1,0.01,21.37,57.25,9.0,0,20.0,50.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.15,0.18317470306026906
758,10.1002/app.29545,30.0,1000.0,0.1,0.01,21.37,57.25,9.0,0,20.0,50.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.206,0.18317470306026906
759,10.1002/app.29545,30.0,0.0,0.0,0.01,21.37,57.25,9.0,0,20.0,50.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.073,0.10610290488484862
760,10.1002/app.29545,30.0,0.0,0.0,0.01,21.37,57.25,9.0,0,20.0,50.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.137,0.10610290488484862
761,10.1002/app.29545,30.0,1000.0,0.1,0.01,21.37,57.25,9.0,0,20.0,60.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.15700000000000003,0.19014020143293492
762,10.1002/app.29545,30.0,1000.0,0.1,0.01,21.37,57.25,9.0,0,20.0,60.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.209,0.19014020143293492
763,10.1002/app.29545,30.0,0.0,0.0,0.01,21.37,57.25,9.0,0,20.0,60.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.077,0.11372012132453792
764,10.1002/app.29545,30.0,0.0,0.0,0.01,21.37,57.25,9.0,0,20.0,60.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.146,0.11372012132453792
765,10.1002/app.29545,30.0,1000.0,0.1,0.01,21.37,57.25,9.0,0,20.0,70.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.16299999999999998,0.17960443735912732
766,10.1002/app.29545,30.0,1000.0,0.1,0.01,21.37,57.25,9.0,0,20.0,70.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.213,0.17960443735912732
767,10.1002/app.29545,30.0,0.0,0.0,0.01,21.37,57.25,9.0,0,20.0,70.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.082,0.1153735661705908
768,10.1002/app.29545,30.0,0.0,0.0,0.01,21.37,57.25,9.0,0,20.0,70.0,0.06,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.15,0.1153735661705908
60,10.1002/bkcs.11008,50.0,100.0,0.008,0.0,21.37,57.25,4.0,0,19.64,40.0,10.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.04000000000000001,0.05689886826674359
61,10.1002/bkcs.11008,50.0,0.0,0.0,0.0,21.37,57.25,4.0,0,19.64,40.0,10.0,-1.2737008624022175,-3.0671827583650915,-0.12657575050853387,0.3066123961106361,-1.701639731355892,1.7117567236211455,-0.006865379430972898,-0.21430939039133115,0.10596073289317279,-0.1069918311064057,0.14,0.060209261339084434
1299,10.1016/S0376-7388(00)00434-8,95.0,0.0,0.0,0.0,21.37,57.25,9.0,1,32.131649294911185,25.0,146.0,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.04299999999999999,0.04212181353489125
1300,10.1016/S0376-7388(00)00434-8,95.0,700.0,0.5,0.0,21.37,57.25,9.0,1,32.131649294911185,25.0,146.0,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.057999999999999975,0.05900729550162651
1301,10.1016/S0376-7388(00)00434-8,100.0,700.0,0.178,0.0,21.37,57.25,9.0,1,32.131649294911185,25.0,146.0,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.055000000000000035,0.050707663226054356
1302,10.1016/S0376-7388(00)00434-8,95.0,700.0,0.5,0.0,21.37,57.25,9.0,1,32.131649294911185,35.0,146.0,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.07999999999999999,0.07245662568055986
1303,10.1016/S0376-7388(00)00434-8,95.0,0.0,0.0,0.0,21.37,57.25,9.0,1,32.131649294911185,35.0,146.0,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.052999999999999985,0.05150626156458809
1304,10.1016/S0376-7388(00)00434-8,100.0,700.0,0.178,0.0,21.37,57.25,9.0,1,32.131649294911185,35.0,146.0,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.05700000000000004,0.05811333056985496
1305,10.1016/S0376-7388(00)00434-8,95.0,700.0,0.5,0.0,21.37,57.25,9.0,1,32.131649294911185,45.0,146.0,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.11,0.1135740061249772
1306,10.1016/S0376-7388(00)00434-8,100.0,700.0,0.178,0.0,21.37,57.25,9.0,1,32.131649294911185,45.0,146.0,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.08500000000000002,0.09012004671781182
1307,10.1016/S0376-7388(00)00434-8,95.0,0.0,0.0,0.0,21.37,57.25,9.0,1,32.131649294911185,45.0,146.0,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.07500000000000001,0.09576164505056582
1308,10.1016/S0376-7388(00)00434-8,95.0,700.0,0.5,0.0,21.37,57.25,9.0,1,32.131649294911185,55.0,146.0,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.15,0.14155982857069585
1309,10.1016/S0376-7388(00)00434-8,100.0,700.0,0.178,0.0,21.37,57.25,9.0,1,32.131649294911185,55.0,146.0,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.11499999999999998,0.1148136733505556
1310,10.1016/S0376-7388(00)00434-8,95.0,0.0,0.0,0.0,21.37,57.25,9.0,1,32.131649294911185,55.0,146.0,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.09500000000000001,0.11902273333065458
2147,10.1016/S0376-7388(02)00265-X,0.1,0.0,0.0,0.0,26.52,58.5,0.1111,0,32.131649294911185,25.0,3.99,24.057754683085673,2.3280879592095296,-0.1167385275404072,-0.37176575035627396,-2.492351203247489,-2.618580280928283,-0.1443283089544346,-0.2574908282760371,2.086395375149412,-2.4821783501834833,0.08999999999999998,0.11340283702630174
2148,10.1016/S0376-7388(02)00265-X,0.1,0.0,0.0,0.0,26.52,58.5,0.4286,0,32.131649294911185,25.0,3.99,24.057754683085673,2.3280879592095296,-0.1167385275404072,-0.37176575035627396,-2.492351203247489,-2.618580280928283,-0.1443283089544346,-0.2574908282760371,2.086395375149412,-2.4821783501834833,0.11999999999999998,0.121157190176967
2149,10.1016/S0376-7388(02)00265-X,0.1,0.0,0.0,0.0,26.52,58.5,1.0,0,32.131649294911185,25.0,3.99,24.057754683085673,2.3280879592095296,-0.1167385275404072,-0.37176575035627396,-2.492351203247489,-2.618580280928283,-0.1443283089544346,-0.2574908282760371,2.086395375149412,-2.4821783501834833,0.135,0.1326052911616779
2150,10.1016/S0376-7388(02)00265-X,0.1,0.0,0.0,0.0,26.52,58.5,2.3333,0,32.131649294911185,25.0,3.99,24.057754683085673,2.3280879592095296,-0.1167385275404072,-0.37176575035627396,-2.492351203247489,-2.618580280928283,-0.1443283089544346,-0.2574908282760371,2.086395375149412,-2.4821783501834833,0.13400000000000004,0.12902497707528338
2151,10.1016/S0376-7388(02)00265-X,0.1,0.0,0.0,0.0,26.52,58.5,9.0,0,32.131649294911185,25.0,3.99,24.057754683085673,2.3280879592095296,-0.1167385275404072,-0.37176575035627396,-2.492351203247489,-2.618580280928283,-0.1443283089544346,-0.2574908282760371,2.086395375149412,-2.4821783501834833,0.17000000000000004,0.1298749123839222
2152,10.1016/S0376-7388(02)00265-X,0.1,0.0,0.0,0.0,26.52,58.5,9.0,0,32.131649294911185,45.0,3.99,24.057754683085673,2.3280879592095296,-0.1167385275404072,-0.37176575035627396,-2.492351203247489,-2.618580280928283,-0.1443283089544346,-0.2574908282760371,2.086395375149412,-2.4821783501834833,0.17999999999999997,0.18739056214871724
2153,10.1016/S0376-7388(02)00265-X,0.1,0.0,0.0,0.0,26.52,58.5,9.0,0,32.131649294911185,55.0,3.99,24.057754683085673,2.3280879592095296,-0.1167385275404072,-0.37176575035627396,-2.492351203247489,-2.618580280928283,-0.1443283089544346,-0.2574908282760371,2.086395375149412,-2.4821783501834833,0.23000000000000004,0.23151379420675988
